name,team,position,price,gw,opponent,home,minutes,points,goals,assists,xG,xA,xGC,CS,BPS,YC,RC,fixture_id,kickoff_time
David Raya Martín,Arsenal,Goalkeeper,6.0,1,Man Utd,False,90,10,0,0,0.00,0.00,1.52,1,38,1,0,9,2025-08-17T15:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,2,Leeds,True,90,6,0,0,0.00,0.00,0.17,1,28,0,0,11,2025-08-23T16:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,3,Liverpool,False,90,2,0,0,0.00,0.02,0.52,0,12,0,0,25,2025-08-31T15:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,4,Nott'm Forest,True,90,6,0,0,0.00,0.00,0.20,1,24,0,0,31,2025-09-13T11:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,5,Man City,True,90,2,0,0,0.00,0.01,0.89,0,13,0,0,41,2025-09-21T15:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,6,Newcastle,False,90,2,0,0,0.00,0.01,0.61,0,11,0,0,58,2025-09-28T15:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,7,West Ham,True,90,6,0,0,0.00,0.00,0.49,1,20,0,0,61,2025-10-04T14:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,8,Fulham,False,90,6,0,0,0.00,0.00,0.44,1,21,0,0,74,2025-10-18T16:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,9,Crystal Palace,True,90,6,0,0,0.00,0.00,0.47,1,25,0,0,81,2025-10-26T14:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,10,Burnley,False,90,6,0,0,0.00,0.00,0.42,1,20,0,0,92,2025-11-01T15:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,11,Sunderland,False,90,1,0,0,0.00,0.00,0.44,0,-2,0,0,108,2025-11-08T17:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,12,Spurs,True,90,2,0,0,0.00,0.00,0.07,0,6,0,0,111,2025-11-23T16:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,13,Chelsea,False,90,3,0,0,0.00,0.00,0.79,0,12,0,0,123,2025-11-30T16:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,14,Brentford,True,90,6,0,0,0.00,0.00,0.35,1,26,0,0,131,2025-12-03T19:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,15,Aston Villa,False,90,2,0,0,0.00,0.00,2.16,0,13,0,0,141,2025-12-06T12:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,16,Wolves,True,90,2,0,0,0.00,0.00,0.38,0,8,0,0,151,2025-12-13T20:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,17,Everton,False,90,7,0,0,0.00,0.00,0.20,1,28,0,0,164,2025-12-20T20:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,18,Brighton,True,90,2,0,0,0.00,0.00,0.85,0,11,0,0,171,2025-12-27T15:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,19,Aston Villa,True,90,2,0,0,0.00,0.00,2.67,0,12,0,0,181,2025-12-30T20:15:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,20,Bournemouth,False,90,1,0,0,0.00,0.00,1.43,0,3,0,0,192,2026-01-03T17:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,21,Liverpool,True,90,6,0,0,0.00,0.00,0.36,1,19,0,0,201,2026-01-08T20:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,22,Nott'm Forest,False,90,6,0,0,0.00,0.00,0.34,1,23,0,0,217,2026-01-17T17:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,23,Man Utd,True,90,1,0,0,0.00,0.01,0.71,0,-3,0,0,221,2026-01-25T16:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,24,Leeds,False,90,6,0,0,0.00,0.00,0.15,1,24,0,0,234,2026-01-31T15:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,25,Sunderland,True,90,7,0,0,0.00,0.00,0.19,1,30,0,0,241,2026-02-07T15:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,26,Brentford,False,90,2,0,0,0.00,0.00,1.51,0,13,0,0,252,2026-02-12T20:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,26,Wolves,False,90,1,0,0,0.00,0.00,0.29,0,-3,0,0,310,2026-02-18T20:00:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,27,Spurs,False,90,3,0,0,0.00,0.00,0.76,0,18,0,0,269,2026-02-22T16:30:00Z
David Raya Martín,Arsenal,Goalkeeper,6.0,28,Chelsea,True,90,3,0,0,0.00,0.01,1.05,0,12,0,0,271,2026-03-01T16:30:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,1,Man Utd,False,90,6,0,0,0.00,0.00,1.52,1,23,0,0,9,2025-08-17T15:30:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,2,Leeds,True,90,6,0,0,0.04,0.01,0.17,1,26,0,0,11,2025-08-23T16:30:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,3,Liverpool,False,90,2,0,0,0.02,0.01,0.52,0,8,0,0,25,2025-08-31T15:30:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,4,Nott'm Forest,True,90,9,0,0,0.20,0.01,0.20,1,32,0,0,31,2025-09-13T11:30:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,5,Man City,True,90,2,0,0,0.00,0.01,0.89,0,13,0,0,41,2025-09-21T15:30:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,6,Newcastle,False,90,13,1,0,0.22,0.02,0.61,0,34,0,0,58,2025-09-28T15:30:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,7,West Ham,True,90,9,0,0,0.00,0.03,0.49,1,33,0,0,61,2025-10-04T14:00:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,8,Fulham,False,90,12,0,1,0.24,0.02,0.44,1,33,0,0,74,2025-10-18T16:30:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,9,Crystal Palace,True,90,9,0,0,0.10,0.03,0.47,1,32,0,0,81,2025-10-26T14:00:00Z
Gabriel dos Santos Magalhães,Arsenal,Defender,7.1,10,Burnley,False,90,12,0,1,0.00,0.52,0.42,1,39,1,0,92,2025-11-01T15:00:00Z
